created_at,entry_id,Temp,Pressure,Rain
2019-09-25 20:25:06 UTC,1,28.03321,976.07257,1024
2019-09-25 20:25:28 UTC,2,27.90964,975.97876,1024
2019-09-25 20:25:49 UTC,3,27.99615,975.94049,1024
2019-09-25 20:26:09 UTC,4,27.98997,975.95673,1024
2019-09-25 20:26:31 UTC,5,27.98997,976.01593,1024
2019-09-25 20:26:51 UTC,6,28.07644,975.98486,1024
2019-09-25 20:27:12 UTC,7,28.02086,976.04584,1024
2019-09-25 20:27:32 UTC,8,28.05174,975.99432,495
2019-09-25 20:27:53 UTC,9,27.84164,975.39862,535
2019-09-25 20:28:14 UTC,10,28.18756,975.88489,355
2019-09-25 20:28:35 UTC,11,28.26777,975.9881,428
2019-09-25 20:28:56 UTC,12,28.19373,975.97968,547
2019-09-25 20:29:17 UTC,13,28.18139,975.92334,577
2019-09-25 20:29:38 UTC,14,28.18756,975.98114,898
2019-09-25 20:29:59 UTC,15,28.00233,975.93536,1024
2019-09-25 20:30:19 UTC,16,27.92818,975.98938,1024
2019-09-25 20:30:40 UTC,17,27.81072,975.99371,1024
2019-09-25 20:31:01 UTC,18,27.75505,975.92108,1024
2019-09-25 20:31:21 UTC,19,27.69937,975.94458,1024
2019-09-25 20:31:42 UTC,20,27.37109,975.18042,1024
2019-09-25 20:32:02 UTC,21,27.67461,975.88348,1024
2019-09-25 20:32:23 UTC,22,27.72412,975.95758,1024
2019-09-25 20:32:44 UTC,23,27.73649,975.90302,1024
2019-09-25 20:33:05 UTC,24,27.78598,975.86243,1024
2019-09-25 20:33:25 UTC,25,27.80453,975.94702,1024
2019-09-25 20:33:46 UTC,26,27.8169,975.92944,1024
2019-09-25 20:34:07 UTC,27,27.78598,975.88831,1024
2019-09-25 20:34:29 UTC,28,27.75505,975.89893,1024
2019-09-25 20:34:50 UTC,29,27.77979,975.87115,1024
2019-09-25 20:35:11 UTC,30,27.76742,975.88135,1024
2019-09-25 20:35:31 UTC,31,27.79835,975.90399,1024
2019-09-25 20:35:53 UTC,32,28.00233,975.89838,1024
2019-09-25 20:36:14 UTC,33,27.94672,975.83344,1024
2019-09-25 20:36:35 UTC,34,27.98997,975.93823,1024
2019-09-25 20:36:56 UTC,35,27.99615,975.82581,1024
2019-09-25 20:37:16 UTC,36,27.92818,975.85248,1024
2019-09-25 20:37:37 UTC,37,27.9529,975.88379,1024
2019-09-25 20:37:58 UTC,38,27.87873,975.81189,1024
2019-09-25 20:38:19 UTC,39,27.8911,975.80542,1024